participant_id	write_1	draw_1	sewingneedle_1	scissors_1	toothbrush_1	knife_1	spoon_1	mop_1	lighter_1	jar_lid_1	hand_index
sub-pp072	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100
sub-pp073	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100
sub-pp074	-1.0	-1.0	1.0	1.0	1.0	1.0	-1.0	-1.0	1.0	1.0	20
sub-pp076	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	90
sub-pp077	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100
sub-pp078	1.0	1.0	0.5	0.5	1.0	1.0	1.0	-1.0	1.0	-1.0	50
sub-pp083	1.0	1.0	1.0	1.0	0.5	-0.5	1.0	1.0	0.5	0.5	70
sub-pp085	1.0	1.0	1.0	1.0	1.0	-1.0	1.0	0.5	1.0	-0.5	60
sub-pp088	1.0	1.0	1.0	1.0	1.0	-1.0	1.0	0.0	1.0	0.0	60
sub-pp091	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100
sub-pp092	-1.0	-1.0	-1.0	0.5	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-75
sub-pp093	1.0	1.0	1.0	0.5	1.0	1.0	1.0	0.0	1.0	0.5	80
sub-pp094	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100
sub-pp095	1.0	1.0	1.0	1.0	0.0	0.5	0.0	0.5	1.0	0.0	60
sub-pp099	1.0	1.0	1.0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	65
sub-pp105	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	-1.0	-1.0	-1.0	-1.0	-80
sub-pp106	1.0	1.0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	60
sub-pp107	1.0	1.0	0.5	0.5	0.0	0.0	0.5	0.0	0.5	1.0	50
sub-pp108	1.0	1.0	1.0	1.0	1.0	-1.0	1.0	1.0	1.0	1.0	80
sub-pp110	1.0	1.0	1.0	1.0	0.5	0.0	1.0	1.0	1.0	1.0	85
sub-pp111	1.0	1.0	1.0	0.5	0.5	1.0	1.0	1.0	1.0	1.0	90
sub-pp112	1.0	1.0	1.0	1.0	1.0	-1.0	1.0	1.0	1.0	1.0	80
sub-pp114	0.5	1.0	1.0	0.5	0.5	0.0	0.5	1.0	0.5	0.0	55
sub-pp115	1.0	1.0	1.0	0.5	0.5	1.0	0.5	1.0	1.0	1.0	85
sub-pp116	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100
sub-pp117	1.0	1.0	1.0	1.0	1.0	1.0	1.0	-1.0	1.0	1.0	80
sub-pp118	1.0	1.0	1.0	1.0	1.0	-1.0	1.0	1.0	1.0	1.0	80
sub-pp119	1.0	1.0	1.0	0.5	1.0	1.0	0.5	0.5	0.5	0.5	75
sub-pp120	1.0	1.0	1.0	0.5	0.0	0.0	0.5	0.0	0.5	1.0	55
sub-pp124	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100
sub-pp125	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100
sub-pp126	1.0	1.0	1.0	1.0	1.0	-0.5	1.0	-0.5	1.0	1.0	70
sub-pp127	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100
sub-pp128	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	80
sub-pp129	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5	1.0	1.0	95
sub-pp133	1.0	1.0	1.0	1.0	1.0	-0.5	1.0	0.5	1.0	0.0	70
sub-pp135	1.0	1.0	1.0	1.0	0.5	0.0	1.0	1.0	0.5	0.0	70
sub-pp137	1.0	1.0	0.0	0.5	0.0	0.5	0.0	0.0	0.5	0.0	35
sub-pp145	-1.0	-1.0	-1.0	-0.5	-1.0	-0.5	-1.0	-1.0	-1.0	-1.0	-90
sub-pp147	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100
sub-pp149	1.0	1.0	1.0	1.0	1.0	-1.0	1.0	-0.5	0.5	-0.5	45
sub-pp150	-1.0	-1.0	0.0	1.0	1.0	1.0	-1.0	-1.0	1.0	-1.0	-10
sub-pp151	1.0	1.0	1.0	0.5	0.5	0.0	0.5	1.0	1.0	0.5	70
sub-pp152	1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.5	1.0	0.0	80
sub-pp155	1.0	1.0	1.0	0.5	0.5	1.0	0.5	0.5	0.5	0.5	70
sub-pp156	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	-1.0	-1.0	-1.0	-80
sub-pp158	-0.5	-0.5	0.5	0.5	0.0	0.5	0.0	0.5	0.0	0.5	15
sub-pp159	1.0	1.0	1.0	0.5	1.0	0.5	0.5	0.0	0.0	0.0	55
sub-pp160	1.0	0.5	1.0	0.5	1.0	-0.5	0.5	-0.5	0.5	0.5	45
sub-pp161	1.0	0.5	0.5	0.0	0.0	-0.5	0.5	0.0	0.5	0.0	25
sub-pp162	1.0	1.0	1.0	1.0	1.0	-1.0	1.0	1.0	1.0	1.0	80
sub-pp163	1.0	1.0	0.0	0.5	1.0	1.0	1.0	1.0	1.0	1.0	85
sub-pp164	-1.0	-1.0	-1.0	-0.5	-0.5	0.5	-0.5	0.5	-1.0	-0.5	-50
sub-pp166	1.0	1.0	1.0	1.0	0.5	1.0	1.0	1.0	1.0	1.0	95
sub-pp168	1.0	1.0	1.0	1.0	1.0	-0.5	1.0	0.5	1.0	0.5	75
sub-pp169	1.0	1.0	0.5	0.5	0.5	1.0	0.0	0.0	0.5	0.5	55
sub-pp170	1.0	1.0	1.0	1.0	0.5	1.0	0.5	1.0	1.0	0.5	85
sub-pp171	1.0	1.0	0.5	0.5	0.0	0.5	0.0	0.0	0.0	-0.5	30
